"date";"server";"position";"name";"race";"points"
"2025-12-31";"R2";"65";"tilemir";"ABSORBEUR";"2411794"
"2025-12-31";"R2";"66";"NightDeath";"CULTISTE";"2351202"
"2025-12-31";"R2";"67";"DeepThroat";"ABSORBEUR";"1812081"
"2025-12-31";"R2";"68";"btd";"ABSORBEUR";"1803279"
"2025-12-31";"R2";"69";"afk";"SEIGNEUR DES BÊTES";"1751644"
"2025-12-31";"R2";"70";"Sanglior";"ABSORBEUR";"1737410"
"2025-12-31";"R2";"71";"Loot";"CULTISTE";"1619887"
"2025-12-31";"R2";"72";"SnadeR";"ABSORBEUR";"1504415"
"2025-12-31";"R2";"73";"Eskelos";"CULTISTE";"1483103"
"2025-12-31";"R2";"74";"DjToXiC";"CULTISTE";"1482093"
"2025-12-31";"R2";"75";"bacus";"CULTISTE";"1468619"
"2025-12-31";"R2";"76";"Shuri";"CAPTEUR D’ESPRIT";"1369689"
"2025-12-31";"R2";"77";"Nyhu";"CAPTEUR D’ESPRIT";"1309221"
"2025-12-31";"R2";"78";"Rholo";"DAMNÉ";"1257805"
"2025-12-31";"R2";"79";"SHORG";"CAPTEUR D’ESPRIT";"1229828"
"2025-12-31";"R2";"80";"Buzuc";"SEIGNEUR DES BÊTES";"1190528"
"2025-12-31";"R2";"81";"Bashdamn";"CULTISTE";"1170115"
"2025-12-31";"R2";"82";"Flare";"DAMNÉ";"1133966"
"2025-12-31";"R2";"83";"Cai";"ABSORBEUR";"1091304"
"2025-12-31";"R2";"84";"Tiou666";"ABSORBEUR";"1053141"
"2025-12-31";"R2";"85";"Blackmoon";"ABSORBEUR";"1018572"
"2025-12-31";"R2";"86";"lienrag";"ABSORBEUR";"957241"
"2025-12-31";"R2";"87";"gudulffe";"ABSORBEUR";"851802"
"2025-12-31";"R2";"88";"Krøgash";"ABSORBEUR";"851092"
"2025-12-31";"R2";"89";"Toril";"SEIGNEUR DES BÊTES";"814425"
"2025-12-31";"R2";"90";"Eril";"ABSORBEUR";"806263"
"2025-12-31";"R2";"91";"Vorag";"ABSORBEUR";"781773"
"2025-12-31";"R2";"92";"Foladorn";"DAMNÉ";"714121"
"2025-12-31";"R2";"93";"Maruos";"ABSORBEUR";"697244"
"2025-12-31";"R2";"94";"shakira";"SEIGNEUR DES BÊTES";"660139"
"2025-12-31";"R2";"95";"Lynoot";"CAPTEUR D’ESPRIT";"652111"
"2025-12-31";"R2";"96";"eowin59";"DAMNÉ";"648845"
"2025-12-31";"R2";"97";"zentone";"CAPTEUR D’ESPRIT";"586569"
"2025-12-31";"R2";"98";"BrainLess";"DAMNÉ";"566856"
"2025-12-31";"R2";"99";"Yasuo";"ABSORBEUR";"542329"
"2025-12-31";"R2";"100";"Loyd";"DAMNÉ";"539852"
"2025-12-31";"R2";"101";"N3c";"ABSORBEUR";"524630"
"2025-12-31";"R2";"102";"HungariAn";"DAMNÉ";"520047"
"2025-12-31";"R2";"103";"Mendori Sensei";"CAPTEUR D’ESPRIT";"516325"
"2025-12-31";"R2";"104";"Akela";"DAMNÉ";"505559"
"2025-12-31";"R2";"105";"Thyandra";"CAPTEUR D’ESPRIT";"489169"
"2025-12-31";"R2";"106";"binouze";"DAMNÉ";"443457"
"2025-12-31";"R2";"107";"kriss la krass";"ABSORBEUR";"402798"
"2025-12-31";"R2";"108";"Nektùll";"ABSORBEUR";"357451"
"2025-12-31";"R2";"109";"mutafukaz";"CULTISTE";"352776"
"2025-12-31";"R2";"110";"Kuroï";"DAMNÉ";"338037"
"2025-12-31";"R2";"111";"loukic";"ABSORBEUR";"337706"
"2025-12-31";"R2";"112";"Bouh";"DAMNÉ";"331383"
"2025-12-31";"R2";"113";"Dickins";"CULTISTE";"298995"
"2025-12-31";"R2";"114";"Aviliss";"ABSORBEUR";"286592"
"2025-12-31";"R2";"115";"novalie";"CAPTEUR D’ESPRIT";"248828"
"2025-12-31";"R2";"116";"Febril";"CAPTEUR D’ESPRIT";"225533"
"2025-12-31";"R2";"117";"Lasombra";"ABSORBEUR";"225024"
"2025-12-31";"R2";"118";"Genji Shimada";"ABSORBEUR";"219308"
